Date,Open,High,Low,Close
10-06-2011, 226.98 , 227.49 , 222.53 , 224.29 
13-06-2011, 223.90 , 224.20 , 221.00 , 221.99 
14-06-2011, 223.10 , 224.65 , 222.07 , 223.02 
15-06-2011, 223.35 , 223.57 , 217.57 , 218.25 
16-06-2011, 217.16 , 222.51 , 216.13 , 220.54 
17-06-2011, 222.00 , 222.13 , 218.88 , 221.31 
20-06-2011, 222.00 , 222.18 , 212.01 , 218.02 
21-06-2011, 218.80 , 220.99 , 214.12 , 214.85 
22-06-2011, 216.18 , 216.46 , 212.32 , 214.05 
23-06-2011, 213.65 , 216.99 , 213.60 , 216.13 
24-06-2011, 217.70 , 229.81 , 217.36 , 228.61 
27-06-2011, 227.50 , 232.98 , 226.20 , 232.60 
28-06-2011, 233.11 , 234.92 , 231.99 , 234.11 
29-06-2011, 235.20 , 238.64 , 234.51 , 237.96 
30-06-2011, 238.80 , 243.30 , 238.80 , 240.46 
01-07-2011, 241.85 , 242.95 , 238.40 , 242.03 
04-07-2011, 244.54 , 244.90 , 242.20 , 243.61 
05-07-2011, 243.90 , 247.84 , 240.95 , 247.33 
06-07-2011, 247.00 , 247.73 , 243.65 , 244.38 
07-07-2011, 244.60 , 248.74 , 243.01 , 248.29 
08-07-2011, 248.13 , 251.50 , 245.79 , 247.85 
11-07-2011, 246.98 , 246.98 , 242.10 , 243.51 
12-07-2011, 240.40 , 242.50 , 238.43 , 240.01 
13-07-2011, 241.47 , 244.15 , 241.20 , 243.11 
14-07-2011, 242.30 , 248.93 , 241.30 , 246.71 
15-07-2011, 246.50 , 249.90 , 246.50 , 247.49 
18-07-2011, 247.34 , 248.38 , 245.35 , 247.68 
19-07-2011, 246.98 , 251.70 , 246.60 , 251.26 
20-07-2011, 252.40 , 252.87 , 246.05 , 247.14 
21-07-2011, 247.30 , 247.95 , 244.40 , 245.50 
22-07-2011, 247.00 , 250.70 , 246.01 , 249.84 
25-07-2011, 249.25 , 252.50 , 247.23 , 251.27 
26-07-2011, 251.80 , 252.97 , 242.90 , 244.60 
27-07-2011, 244.39 , 244.48 , 238.05 , 240.49 
28-07-2011, 237.55 , 239.50 , 234.51 , 235.66 
29-07-2011, 235.80 , 237.60 , 233.47 , 234.48 
01-08-2011, 236.51 , 238.30 , 232.66 , 234.51 
02-08-2011, 233.64 , 233.85 , 226.85 , 227.71 
03-08-2011, 225.00 , 228.77 , 224.85 , 227.87 
04-08-2011, 228.89 , 231.00 , 225.23 , 225.77 
05-08-2011, 220.50 , 224.40 , 218.05 , 223.49 
08-08-2011, 218.89 , 226.52 , 218.00 , 221.70 
09-08-2011, 216.50 , 228.90 , 215.75 , 222.22 
10-08-2011, 227.50 , 228.69 , 225.40 , 227.21 
11-08-2011, 226.50 , 228.33 , 224.10 , 224.63 
12-08-2011, 227.79 , 227.80 , 215.00 , 219.70 
16-08-2011, 218.00 , 224.75 , 216.54 , 219.70 
17-08-2011, 220.50 , 223.34 , 216.32 , 217.02 
18-08-2011, 218.40 , 218.50 , 207.01 , 207.84 
19-08-2011, 205.00 , 210.90 , 202.63 , 203.75 
22-08-2011, 204.58 , 207.49 , 200.70 , 206.20 
23-08-2011, 207.87 , 208.20 , 203.71 , 206.37 
24-08-2011, 206.68 , 208.10 , 197.81 , 198.98 
25-08-2011, 200.00 , 200.95 , 195.15 , 195.98 
26-08-2011, 196.40 , 197.24 , 186.66 , 188.79 
29-08-2011, 192.50 , 195.00 , 191.16 , 193.86 
30-08-2011, 197.47 , 198.38 , 192.26 , 197.38 
02-09-2011, 199.10 , 202.10 , 196.01 , 199.35 
05-09-2011, 197.29 , 201.60 , 196.20 , 200.65 
06-09-2011, 199.35 , 199.70 , 193.22 , 197.97 
07-09-2011, 198.34 , 204.26 , 198.32 , 202.77 
08-09-2011, 203.67 , 204.00 , 201.11 , 202.38 
09-09-2011, 203.00 , 204.79 , 194.00 , 195.27 
12-09-2011, 193.10 , 193.10 , 185.54 , 186.34 
13-09-2011, 188.00 , 189.95 , 181.80 , 183.29 
14-09-2011, 183.80 , 185.36 , 180.85 , 182.68 
15-09-2011, 184.78 , 190.48 , 183.00 , 189.80 
16-09-2011, 191.35 , 195.90 , 188.01 , 194.56 
19-09-2011, 192.85 , 193.25 , 190.51 , 191.70 
20-09-2011, 191.60 , 199.99 , 190.20 , 199.07 
21-09-2011, 199.50 , 202.40 , 199.07 , 200.96 
22-09-2011, 196.23 , 197.39 , 193.00 , 193.76 
23-09-2011, 191.10 , 198.19 , 189.00 , 195.02 
26-09-2011, 195.21 , 197.10 , 192.18 , 195.13 
27-09-2011, 198.51 , 200.68 , 197.76 , 199.73 
28-09-2011, 201.00 , 201.27 , 196.10 , 196.93 
29-09-2011, 195.60 , 196.18 , 191.16 , 195.24 
30-09-2011, 193.47 , 193.87 , 190.54 , 191.10 
03-10-2011, 188.21 , 188.50 , 185.10 , 186.16 
04-10-2011, 185.00 , 187.28 , 175.00 , 178.72 
05-10-2011, 180.01 , 181.22 , 171.00 , 171.84 
07-10-2011, 176.30 , 177.79 , 174.26 , 175.23 
10-10-2011, 175.99 , 176.49 , 172.22 , 175.60 
11-10-2011, 177.68 , 180.60 , 175.35 , 176.46 
12-10-2011, 178.02 , 188.00 , 175.73 , 187.21 
13-10-2011, 188.10 , 193.40 , 187.50 , 188.74 
14-10-2011, 187.10 , 190.65 , 186.93 , 188.52 
17-10-2011, 190.40 , 193.30 , 188.32 , 189.17 
18-10-2011, 186.99 , 188.56 , 183.80 , 186.65 
19-10-2011, 188.79 , 192.35 , 188.60 , 191.84 
20-10-2011, 189.20 , 194.00 , 188.67 , 193.51 
21-10-2011, 194.14 , 196.74 , 193.62 , 194.82 
24-10-2011, 197.50 , 198.90 , 188.57 , 190.88 
25-10-2011, 191.98 , 196.00 , 182.70 , 183.98 
28-10-2011, 192.50 , 192.91 , 189.02 , 190.98 
31-10-2011, 191.89 , 192.18 , 187.80 , 190.63 
01-11-2011, 189.25 , 192.10 , 188.60 , 190.14 
02-11-2011, 188.70 , 192.48 , 188.50 , 190.94 
03-11-2011, 190.50 , 194.00 , 190.35 , 193.48 
04-11-2011, 196.45 , 198.09 , 195.30 , 196.62 
08-11-2011, 197.70 , 200.40 , 196.00 , 199.73 
09-11-2011, 201.30 , 201.75 , 185.22 , 186.21 
11-11-2011, 186.18 , 186.49 , 178.13 , 179.84 
14-11-2011, 182.60 , 182.70 , 174.04 , 175.31 
15-11-2011, 174.50 , 176.37 , 171.83 , 172.96 
16-11-2011, 172.80 , 178.00 , 171.81 , 176.60 
17-11-2011, 176.37 , 179.88 , 174.65 , 175.74 
18-11-2011, 175.01 , 176.60 , 170.33 , 172.66 
21-11-2011, 172.30 , 172.45 , 165.46 , 167.22 
22-11-2011, 168.14 , 170.90 , 166.53 , 168.95 
23-11-2011, 167.40 , 167.40 , 162.73 , 165.52 
24-11-2011, 165.60 , 166.84 , 162.90 , 165.39 
25-11-2011, 164.90 , 169.90 , 163.50 , 169.06 
28-11-2011, 172.10 , 178.79 , 171.12 , 177.96 
29-11-2011, 178.80 , 179.70 , 174.71 , 176.12 
30-11-2011, 174.97 , 179.50 , 172.80 , 176.24 
01-12-2011, 181.60 , 185.27 , 181.00 , 182.41 
02-12-2011, 182.45 , 189.90 , 180.18 , 188.68 
05-12-2011, 188.47 , 191.70 , 187.00 , 191.10 
07-12-2011, 191.47 , 195.99 , 191.40 , 194.54 
08-12-2011, 193.00 , 193.38 , 186.00 , 186.79 
09-12-2011, 183.02 , 188.49 , 182.00 , 186.55 
12-12-2011, 188.27 , 189.66 , 176.30 , 177.27 
13-12-2011, 175.80 , 180.79 , 174.66 , 178.79 
14-12-2011, 178.40 , 183.99 , 177.10 , 178.51 
15-12-2011, 175.65 , 177.20 , 172.65 , 173.68 
16-12-2011, 175.20 , 178.23 , 166.51 , 167.91 
19-12-2011, 166.50 , 166.50 , 159.68 , 162.81 
20-12-2011, 163.20 , 164.90 , 157.11 , 157.85 
21-12-2011, 161.49 , 163.50 , 159.54 , 162.35 
22-12-2011, 161.00 , 167.90 , 158.82 , 167.11 
23-12-2011, 167.50 , 169.18 , 163.80 , 164.74 
26-12-2011, 164.32 , 167.50 , 164.22 , 166.57 
27-12-2011, 166.50 , 166.90 , 163.34 , 164.37 
28-12-2011, 162.91 , 163.50 , 160.25 , 161.02 
29-12-2011, 160.00 , 163.70 , 159.00 , 162.88 
30-12-2011, 163.79 , 164.99 , 160.55 , 161.90 
02-01-2012, 162.90 , 163.60 , 161.14 , 162.76 
03-01-2012, 164.40 , 171.00 , 164.30 , 170.57 
04-01-2012, 171.20 , 171.39 , 167.52 , 169.60 
05-01-2012, 169.60 , 171.85 , 168.01 , 169.24 
06-01-2012, 167.50 , 170.76 , 165.80 , 167.27 
07-01-2012, NA , NA , NA , NA 
09-01-2012, 166.17 , 166.17 , 162.51 , 163.73 
10-01-2012, 164.98 , 170.88 , 164.90 , 170.26 
11-01-2012, 170.60 , 173.37 , 169.33 , 172.70 
12-01-2012, 173.07 , 177.64 , 172.03 , 176.44 
13-01-2012, 177.68 , 179.99 , 177.00 , 177.61 
16-01-2012, 175.62 , 183.49 , 174.84 , 181.64 
17-01-2012, 183.80 , 187.24 , 183.51 , 184.40 
18-01-2012, 185.00 , 187.10 , 182.00 , 186.54 
19-01-2012, 188.00 , 191.24 , 187.51 , 188.43 
20-01-2012, 189.80 , 194.40 , 189.51 , 193.29 
23-01-2012, 193.19 , 196.71 , 192.10 , 194.05 
24-01-2012, 193.20 , 205.80 , 192.67 , 204.08 
25-01-2012, 205.52 , 208.60 , 203.99 , 205.80 
27-01-2012, 206.44 , 207.00 , 201.79 , 204.06 
30-01-2012, 201.50 , 205.88 , 197.01 , 198.52 
31-01-2012, 201.99 , 207.30 , 201.20 , 206.16 
01-02-2012, 205.10 , 208.84 , 204.25 , 207.76 
02-02-2012, 209.50 , 211.34 , 198.23 , 207.26 
03-02-2012, 207.00 , 211.76 , 203.65 , 210.32 
06-02-2012, 213.20 , 218.74 , 213.20 , 216.26 
07-02-2012, 218.19 , 218.83 , 214.54 , 215.31 
08-02-2012, 216.15 , 218.80 , 214.52 , 217.77 
09-02-2012, 216.43 , 219.20 , 215.76 , 218.40 
10-02-2012, 218.80 , 220.90 , 215.01 , 217.19 
13-02-2012, 217.40 , 218.05 , 209.60 , 212.93 
14-02-2012, 212.85 , 221.79 , 212.85 , 220.01 
15-02-2012, 222.70 , 225.76 , 222.25 , 225.07 
16-02-2012, 224.23 , 237.74 , 222.91 , 235.04 
17-02-2012, 237.70 , 247.15 , 237.70 , 241.71 
21-02-2012, 242.00 , 247.50 , 241.50 , 245.24 
22-02-2012, 245.60 , 246.91 , 223.69 , 225.50 
23-02-2012, 225.43 , 232.31 , 224.70 , 226.05 
24-02-2012, 228.00 , 230.30 , 219.50 , 220.56 
27-02-2012, 221.49 , 222.00 , 211.11 , 212.29 
28-02-2012, 213.90 , 225.50 , 213.07 , 223.13 
29-02-2012, 226.50 , 228.70 , 222.30 , 224.76 
01-03-2012, 223.38 , 223.77 , 218.65 , 221.88 
02-03-2012, 222.64 , 228.20 , 218.60 , 224.67 
03-03-2012, NA , NA , NA , NA 
05-03-2012, 223.47 , 223.47 , 216.47 , 217.60 
06-03-2012, 215.10 , 226.30 , 211.49 , 214.79 
07-03-2012, 213.50 , 216.38 , 210.60 , 214.15 
